table:,country,,,,
country_id,name,Description,region,continent,country_dialing_code
1,Algeria,Algeria,Northern Africa,Africa,
2,Angola,Angola,Middle Africa,Africa,
3,Benin,Benin,Western Africa,Africa,
4,Botswana,Botswana,Southern Africa,Africa,
5,Burkina Faso,Burkina Faso,Western Africa,Africa,
6,Burundi,Burundi,Eastern Africa,Africa,
7,Cabo Verde,Cabo Verde,Western Africa,Africa,
8,Cameroon,Cameroon,Middle Africa,Africa,
9,Central African Republic,Central African Republic,Middle Africa,Africa,
10,Chad,Chad,Middle Africa,Africa,
11,Comoros,Comoros,Eastern Africa,Africa,
12,Republic of the Congo,Congo,Middle Africa,Africa,
13,Ivory Coast,Cote d'Ivoire,Western Africa,Africa,
14,Democratic Republic of the Congo,Democratic Republic of the Congo,Middle Africa,Africa,
15,Djibouti,Djibouti,Eastern Africa,Africa,
16,Egypt,Egypt,Northern Africa,Africa,
17,Equatorial Guinea,Equatorial Guinea,Middle Africa,Africa,
18,Eritrea,Eritrea,Eastern Africa,Africa,
19,Ethiopia,Ethiopia,Eastern Africa,Africa,
20,Gabon,Gabon,Middle Africa,Africa,
21,Gambia,Gambia,Western Africa,Africa,
22,Ghana,Ghana,Western Africa,Africa,
23,Guinea,Guinea,Western Africa,Africa,
24,Guinea-Bissau,Guinea-Bissau,Western Africa,Africa,
25,Kenya,Kenya,Eastern Africa,Africa,
26,Lesotho,Lesotho,Southern Africa,Africa,
27,Liberia,Liberia,Western Africa,Africa,
28,Libya,Libya,Northern Africa,Africa,
29,Madagascar,Madagascar,Eastern Africa,Africa,
30,Malawi,Malawi,Eastern Africa,Africa,
31,Mali,Mali,Western Africa,Africa,
32,Mauritania,Mauritania,Western Africa,Africa,
33,Mauritius,Mauritius,Eastern Africa,Africa,
34,Mayotte,Mayotte,Eastern Africa,Africa,
35,Morocco,Morocco,Northern Africa,Africa,
36,Mozambique,Mozambique,Eastern Africa,Africa,
37,Namibia,Namibia,Southern Africa,Africa,
38,Niger,Niger,Western Africa,Africa,
39,Nigeria,Nigeria,Western Africa,Africa,
40,Rwanda,Rwanda,Eastern Africa,Africa,
41,Réunion,Réunion,Eastern Africa,Africa,
42,Saint Helena,Saint Helena,Western Africa,Africa,
43,Sao Tome and Principe,Sao Tome and Principe,Middle Africa,Africa,
44,Senegal,Senegal,Western Africa,Africa,
45,Seychelles,Seychelles,Eastern Africa,Africa,
46,Sierra Leone,Sierra Leone,Western Africa,Africa,
47,Somalia,Somalia,Eastern Africa,Africa,
48,South Africa,South Africa,Southern Africa,Africa,
49,South Sudan,South Sudan,Eastern Africa,Africa,
